,years,full_population,target_agents,total_affected,m694v_homozigotes,compound,n_allele,carrier_births,affected_births,normal_births
55,2016,78411,52150,288,38,177,69,13039,666,64326
56,2017,78165,51788,283,39,171,69,13183,672,65115
57,2018,78010,51436,282,40,170,68,13320,679,65874
58,2019,77761,51027,276,41,163,68,13478,681,66561
59,2020,77304,50626,276,39,164,68,13625,685,67307
60,2021,76780,50177,275,40,163,67,13762,689,67991
61,2022,76479,49785,270,40,157,67,13890,698,68732
62,2023,76318,49539,268,38,155,69,14037,702,69497
63,2024,75940,49143,268,39,153,70,14177,713,70183
64,1950,50214,42187,209,19,136,48,197,13,989
65,1975,70019,55149,311,33,206,66,5769,312,27963
66,2000,80931,59828,319,41,199,78,10904,581,52721
67,2012,78212,53171,296,46,167,81,12482,668,60481
68,2013,78083,52747,289,44,163,80,12643,675,61219
69,2014,77989,52392,287,43,160,82,12806,679,62040
70,2015,77850,52016,293,44,162,84,12960,687,62769
71,2016,77603,51638,289,44,160,81,13119,694,63502
72,2017,77304,51265,283,43,156,80,13270,703,64198
73,2018,77211,50935,282,43,156,80,13436,707,64919
74,2019,76972,50537,282,45,153,81,13605,717,65609
75,2020,76566,50189,272,45,147,76,13754,728,66369
76,2021,76072,49732,275,46,148,77,13903,732,67047
77,2022,75740,49258,269,45,148,72,14045,739,67718
78,2023,75586,48923,271,47,147,73,14202,743,68463
79,2024,75066,48331,267,43,148,72,14345,751,69046
80,1950,50383,42275,201,27,121,50,231,9,1035
81,1975,69999,55273,296,45,170,78,5879,324,27917
82,2000,81071,60025,332,45,200,78,11038,578,52852
83,2012,78691,53298,273,39,161,65,12699,651,60723
84,2013,78530,52901,270,40,159,64,12846,660,61485
85,2014,78516,52629,272,43,160,62,13018,672,62313
86,2015,78400,52376,271,42,158,64,13193,680,63116
87,2016,78105,52040,274,43,158,66,13327,689,63834
88,2017,77915,51676,270,40,160,63,13482,701,64523
89,2018,77757,51303,264,40,155,63,13608,709,65272
90,2019,77509,50861,263,40,154,63,13760,713,65940
91,2020,77011,50516,256,40,149,61,13909,727,66720
92,2021,76467,50163,252,38,146,62,14059,730,67444
93,2022,76117,49707,244,34,143,61,14207,735,68080
94,2023,75966,49384,243,34,143,61,14373,743,68857
95,2024,75624,48984,233,32,136,60,14494,749,69516
96,1950,50334,42183,172,22,104,41,209,10,1032
97,1975,69635,54800,262,32,146,72,5611,264,27909
98,2000,80280,59255,284,39,168,72,10623,522,52508
99,2012,77877,52767,284,41,172,69,12143,624,60417
100,2013,77869,52384,277,43,166,66,12299,637,61200
101,2014,77787,52145,273,41,166,64,12477,645,62006
102,2015,77715,51844,268,42,163,61,12620,653,62814
103,2016,77517,51540,267,41,162,62,12791,659,63552
104,2017,77299,51217,262,38,160,62,12922,668,64316
105,2018,77097,50842,263,41,157,63,13077,678,65019
106,2019,76810,50393,257,42,149,64,13217,684,65700
107,2020,76276,49997,255,43,146,64,13364,696,66397
108,2021,75737,49627,252,42,145,63,13519,706,67090
109,2022,75515,49217,253,42,144,65,13670,712,67763
110,2023,75396,48936,253,42,145,64,13822,727,68514
111,2024,74901,48447,253,41,146,64,13947,731,69151
112,1950,50251,42186,182,28,105,45,192,9,950
113,1975,69433,54509,267,32,162,63,5705,326,27421
114,2000,80286,59161,348,43,209,90,10844,589,51967
115,2012,77539,52504,312,32,191,83,12386,675,59589
116,2013,77503,52134,306,34,185,81,12542,682,60391
117,2014,77422,51870,308,34,187,81,12721,690,61162
118,2015,77268,51576,303,34,183,80,12873,699,61944
119,2016,77052,51247,297,33,181,77,13023,704,62719
120,2017,76828,50899,287,33,172,76,13184,709,63442
121,2018,76710,50594,278,33,164,75,13334,718,64218
122,2019,76435,50154,271,31,158,75,13491,721,64863
123,2020,75950,49781,271,31,156,77,13627,731,65613
124,2021,75451,49348,270,30,155,76,13778,739,66279
125,2022,75137,48953,269,29,156,75,13925,746,66948
126,2023,74959,48657,269,28,156,76,14065,756,67659
127,2024,74531,48202,263,27,153,74,14207,771,68302
128,1950,50311,42281,211,33,119,55,215,7,1002
129,1975,69288,54560,297,37,169,86,5535,283,27425
130,2000,79734,58635,299,37,181,72,10443,533,51907
131,2012,77126,52103,258,33,153,66,11942,602,59648
132,2013,76931,51742,259,32,152,69,12083,606,60401
133,2014,76759,51369,255,32,150,66,12225,614,61122
134,2015,76620,50950,252,32,151,64,12382,619,61840
135,2016,76398,50642,245,29,148,63,12530,626,62574
136,2017,76202,50266,247,29,146,67,12686,637,63298
137,2018,76010,49926,246,30,143,68,12831,646,64024
138,2019,75834,49584,248,31,145,68,12989,652,64747
139,2020,75391,49316,247,29,145,69,13114,658,65545
140,2021,74903,48830,247,31,146,66,13256,667,66217
141,2022,74498,48415,244,31,144,65,13391,673,66851
142,2023,74325,48120,242,27,143,69,13531,683,67588
143,2024,73919,47667,241,27,142,69,13668,689,68208
144,1950,50366,42319,221,29,128,60,205,14,1035
145,1975,69866,55022,299,53,180,61,5883,322,27620
146,2000,81264,60033,316,49,188,71,11055,578,52699
147,2012,78664,53317,282,44,163,69,12682,679,60451
148,2013,78537,52975,282,45,164,67,12836,691,61235
149,2014,78456,52698,279,48,161,64,12990,698,62086
150,2015,78299,52343,278,44,161,67,13138,708,62858
151,2016,78027,51897,278,44,162,66,13281,716,63580
152,2017,77832,51618,279,46,161,66,13442,727,64336
153,2018,77540,51177,284,47,161,70,13576,736,65008
154,2019,77248,50771,284,47,161,71,13718,744,65704
155,2020,76721,50374,282,45,161,72,13848,754,66410
156,2021,76191,49927,281,45,161,70,13989,763,67106
157,2022,75906,49528,281,44,159,74,14127,772,67771
158,2023,75689,49189,272,42,151,75,14267,780,68518
159,2024,75267,48762,269,39,152,74,14391,787,69180
160,1950,50268,42198,211,22,139,47,201,12,943
161,1975,69350,54721,274,30,166,75,5712,283,27537
162,2000,80696,59572,341,42,206,86,10820,574,52366
163,2012,78125,53062,315,44,183,80,12492,656,60087
164,2013,77888,52612,306,43,175,80,12643,664,60769
165,2014,77821,52351,303,43,174,78,12779,672,61576
166,2015,77698,52059,304,44,173,79,12949,679,62364
167,2016,77438,51671,303,45,171,79,13115,684,63085
168,2017,77258,51273,304,43,171,82,13261,689,63828
169,2018,76992,50876,300,42,169,81,13402,698,64535
170,2019,76716,50466,304,41,175,80,13543,705,65236
171,2020,76196,50069,305,41,180,76,13694,715,65940
172,2021,75697,49562,302,44,175,75,13836,719,66606
173,2022,75405,49163,300,44,173,75,13995,728,67265
174,2023,75215,48858,293,43,171,74,14146,734,67999
175,2024,74798,48404,285,43,163,74,14279,739,68633
176,1950,50284,42268,190,25,122,39,209,13,1007
177,1975,69730,54959,264,28,160,72,5844,300,27658
178,2000,80983,59932,296,37,171,81,11017,549,52665
179,2012,78447,53027,259,33,147,73,12633,625,60198
180,2013,78386,52762,260,34,146,73,12804,642,60969
181,2014,78335,52512,257,34,145,71,12991,648,61790
182,2015,78141,52078,260,34,147,72,13130,660,62538
183,2016,77918,51739,257,34,147,69,13272,669,63305
184,2017,77646,51388,257,35,147,68,13425,679,64017
185,2018,77466,51001,259,37,147,68,13568,689,64799
186,2019,77161,50620,259,39,147,67,13703,697,65498
187,2020,76626,50178,261,36,150,68,13851,699,66206
188,2021,76152,49921,261,34,151,70,14019,707,66946
189,2022,75841,49486,259,34,151,68,14156,716,67623
190,2023,75648,49245,256,33,151,66,14286,727,68381
191,2024,75233,48738,252,31,150,65,14417,733,69042
192,1950,50300,42372,203,26,126,43,214,8,1005
