Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2030;74162.3 ± 245.2;45621.7 ± 177.2;239.6 ± 6.8;27.7 ± 2.1;142.1 ± 4.8;65.3 ± 3.1;4.6 ± 0.8;316538 ± 59968;15703 ± 2961;1729863 ± 327734
2031;73531.8 ± 247.7;45049.0 ± 176.4;236.1 ± 6.5;27.7 ± 1.9;139.4 ± 4.7;64.4 ± 2.8;4.6 ± 0.8;317112 ± 59907;15729 ± 2958;1733006 ± 327405
2032;72905.2 ± 245.4;44466.4 ± 170.3;233.5 ± 6.9;27.5 ± 2.0;138.1 ± 4.8;63.4 ± 2.8;4.5 ± 0.8;317751 ± 59849;15761 ± 2955;1736520 ± 327080
2033;72273.7 ± 245.5;43840.4 ± 168.4;230.6 ± 6.9;27.1 ± 2.0;136.1 ± 4.6;62.9 ± 2.8;4.5 ± 0.8;318369 ± 59780;15790 ± 2952;1739909 ± 326712
2034;71645.9 ± 247.8;43180.8 ± 170.6;226.7 ± 6.8;26.7 ± 2.0;133.3 ± 4.9;62.1 ± 2.7;4.5 ± 0.8;318951 ± 59723;15817 ± 2949;1743138 ± 326385
2035;71004.9 ± 246.2;42491.4 ± 164.6;223.3 ± 6.8;26.3 ± 2.1;131.3 ± 4.6;61.3 ± 2.8;4.5 ± 0.8;319516 ± 59668;15846 ± 2946;1746249 ± 326083
2036;70367.3 ± 241.9;41788.6 ± 159.5;218.7 ± 6.6;25.8 ± 2.0;128.3 ± 4.6;60.3 ± 2.4;4.3 ± 0.8;320085 ± 59603;15873 ± 2943;1749371 ± 325742
2037;69767.3 ± 243.2;41097.6 ± 164.9;214.7 ± 6.6;25.1 ± 2.1;125.6 ± 4.6;59.5 ± 2.4;4.4 ± 0.7;320600 ± 59552;15897 ± 2940;1752208 ± 325459
2038;69119.1 ± 242.4;40402.7 ± 162.8;210.5 ± 6.4;24.3 ± 1.9;123.3 ± 4.5;58.5 ± 2.2;4.4 ± 0.8;321190 ± 59496;15928 ± 2937;1755487 ± 325137
2039;68480.0 ± 244.7;39699.2 ± 165.6;206.9 ± 6.7;24.0 ± 2.0;121.2 ± 4.9;57.2 ± 2.2;4.4 ± 0.8;321730 ± 59441;15954 ± 2935;1758476 ± 324839
2040;67817.5 ± 240.6;38987.5 ± 160.5;201.2 ± 6.4;23.3 ± 1.9;118.1 ± 4.8;55.9 ± 2.2;4.0 ± 0.7;322263 ± 59384;15981 ± 2932;1761360 ± 324530
2041;67171.8 ± 241.1;38321.4 ± 162.0;198.3 ± 6.0;23.2 ± 1.7;116.1 ± 4.6;55.0 ± 2.1;4.0 ± 0.7;322802 ± 59326;16007 ± 2930;1764301 ± 324210
2042;66530.4 ± 244.5;37723.0 ± 161.9;193.8 ± 5.5;23.0 ± 1.7;113.2 ± 4.6;53.5 ± 1.9;4.0 ± 0.7;323317 ± 59265;16031 ± 2927;1767121 ± 323877
