Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2098;3433.3 ± 60.0;1943.0 ± 30.1;4.3 ± 0.4;0.7 ± 0.4;1.7 ± 0.2;2.0 ± 0.4;0.0 ± 0.0;12878 ± 51;625 ± 1;72922 ± 362
2099;3390.0 ± 54.2;1916.0 ± 24.3;4.3 ± 0.4;0.7 ± 0.4;1.7 ± 0.2;2.0 ± 0.4;0.0 ± 0.0;12892 ± 49;625 ± 1;73014 ± 345
2100;3339.7 ± 49.9;1887.3 ± 22.4;4.0 ± 0.4;0.7 ± 0.4;1.3 ± 0.2;2.0 ± 0.4;0.0 ± 0.0;12903 ± 50;625 ± 1;73121 ± 357
2101;3298.0 ± 48.9;1865.0 ± 23.7;4.3 ± 0.5;0.7 ± 0.4;1.3 ± 0.2;2.3 ± 0.5;0.0 ± 0.0;12913 ± 50;625 ± 1;73180 ± 351
2102;3255.7 ± 48.2;1841.3 ± 21.1;4.7 ± 0.4;0.7 ± 0.4;1.3 ± 0.2;2.7 ± 0.5;0.0 ± 0.0;12925 ± 49;625 ± 1;73252 ± 347
2103;3211.3 ± 46.3;1818.7 ± 19.2;4.7 ± 0.4;0.7 ± 0.4;1.3 ± 0.2;2.7 ± 0.5;0.0 ± 0.0;12935 ± 50;626 ± 1;73343 ± 358
2104;3174.0 ± 49.2;1809.3 ± 24.0;5.0 ± 0.4;0.7 ± 0.4;1.3 ± 0.2;3.0 ± 0.6;0.0 ± 0.0;12943 ± 50;626 ± 1;73395 ± 360
2105;3137.3 ± 44.2;1782.3 ± 22.8;5.3 ± 0.4;0.7 ± 0.4;1.3 ± 0.2;3.3 ± 0.7;0.0 ± 0.0;12952 ± 48;626 ± 1;73446 ± 356
2106;3103.7 ± 44.1;1768.7 ± 23.9;5.3 ± 0.4;0.7 ± 0.4;1.3 ± 0.2;3.3 ± 0.7;0.0 ± 0.0;12964 ± 47;626 ± 1;73551 ± 333
2107;3060.0 ± 42.4;1743.0 ± 25.6;4.7 ± 0.5;0.7 ± 0.4;1.3 ± 0.2;2.7 ± 0.9;0.0 ± 0.0;12979 ± 44;626 ± 1;73630 ± 317
2108;3023.7 ± 43.9;1727.3 ± 26.6;5.0 ± 0.7;0.7 ± 0.4;1.7 ± 0.2;2.7 ± 0.9;0.0 ± 0.0;12988 ± 43;626 ± 1;73694 ± 311
2109;2978.3 ± 47.2;1706.0 ± 26.5;5.0 ± 0.7;0.7 ± 0.4;1.7 ± 0.2;2.7 ± 0.9;0.0 ± 0.0;12993 ± 42;626 ± 0;73749 ± 306
2110;2949.3 ± 47.8;1689.0 ± 25.3;4.7 ± 0.7;0.7 ± 0.4;1.7 ± 0.2;2.3 ± 0.9;0.0 ± 0.0;12997 ± 42;626 ± 0;73783 ± 308
2111;2909.0 ± 50.2;1667.0 ± 26.6;4.7 ± 0.7;0.7 ± 0.4;1.7 ± 0.2;2.3 ± 0.9;0.0 ± 0.0;13002 ± 42;627 ± 0;73821 ± 304
2112;2871.3 ± 53.0;1642.3 ± 26.4;4.0 ± 0.9;0.3 ± 0.2;1.7 ± 0.2;2.0 ± 0.9;0.0 ± 0.0;13013 ± 37;627 ± 0;73876 ± 286
2113;2847.0 ± 54.3;1631.7 ± 27.9;3.7 ± 0.7;0.3 ± 0.2;1.7 ± 0.2;1.7 ± 0.7;0.0 ± 0.0;13022 ± 36;627 ± 0;73948 ± 272
2114;2811.3 ± 54.8;1617.3 ± 30.8;3.7 ± 0.7;0.3 ± 0.2;1.7 ± 0.2;1.7 ± 0.7;0.0 ± 0.0;13027 ± 36;627 ± 0;73985 ± 267
2115;2795.3 ± 52.8;1605.3 ± 33.8;4.0 ± 0.7;0.3 ± 0.2;2.0 ± 0.4;1.7 ± 0.7;0.0 ± 0.0;13035 ± 34;627 ± 0;74039 ± 255
2116;2770.3 ± 52.7;1592.3 ± 32.6;4.3 ± 0.5;0.7 ± 0.4;2.0 ± 0.4;1.7 ± 0.7;0.0 ± 0.0;13041 ± 33;627 ± 0;74082 ± 246
2117;2741.3 ± 48.8;1573.3 ± 28.7;4.7 ± 0.7;0.7 ± 0.4;2.0 ± 0.4;2.0 ± 0.9;0.0 ± 0.0;13044 ± 33;627 ± 0;74104 ± 245
2118;2714.7 ± 46.5;1554.3 ± 29.2;4.7 ± 0.7;0.7 ± 0.4;2.0 ± 0.4;2.0 ± 0.9;0.0 ± 0.0;13050 ± 31;627 ± 0;74147 ± 235
2119;2683.0 ± 43.0;1535.0 ± 27.0;4.3 ± 0.5;0.7 ± 0.4;2.0 ± 0.4;1.7 ± 0.7;0.0 ± 0.0;13057 ± 29;627 ± 0;74192 ± 227
2120;2658.0 ± 44.3;1523.7 ± 27.4;4.0 ± 0.6;0.7 ± 0.4;1.7 ± 0.2;1.7 ± 0.7;0.0 ± 0.0;13061 ± 29;627 ± 0;74225 ± 223
2121;2627.7 ± 46.0;1507.0 ± 30.0;3.7 ± 0.4;0.7 ± 0.4;1.7 ± 0.2;1.3 ± 0.5;0.0 ± 0.0;13066 ± 30;627 ± 0;74251 ± 224
2122;2597.7 ± 44.8;1492.0 ± 31.9;3.7 ± 0.4;0.7 ± 0.4;1.7 ± 0.2;1.3 ± 0.5;0.0 ± 0.0;13070 ± 30;627 ± 0;74281 ± 225
2123;2568.0 ± 45.1;1476.0 ± 30.6;3.3 ± 0.5;0.7 ± 0.4;1.3 ± 0.2;1.3 ± 0.5;0.0 ± 0.0;13074 ± 29;627 ± 0;74318 ± 216
2124;2541.3 ± 41.9;1456.0 ± 29.6;3.0 ± 0.4;0.7 ± 0.4;1.0 ± 0.0;1.3 ± 0.5;0.0 ± 0.0;13077 ± 29;627 ± 0;74339 ± 216
2125;2515.3 ± 41.5;1434.7 ± 27.4;3.0 ± 0.4;0.7 ± 0.4;1.0 ± 0.0;1.3 ± 0.5;0.0 ± 0.0;13082 ± 28;627 ± 0;74396 ± 202
