,years_for_full,full_population_mean,target_agents_mean,total_affected_mean,m694v_homozigotes_mean,compound_mean,n_allele_mean,carrier_births_mean,affected_births_mean,normal_births_mean,full_population_ci_low,target_agents_ci_low,total_affected_ci_low,m694v_homozigotes_ci_low,compound_ci_low,n_allele_ci_low,carrier_births_ci_low,affected_births_ci_low,normal_births_ci_low,full_population_ci_high,target_agents_ci_high,total_affected_ci_high,m694v_homozigotes_ci_high,compound_ci_high,n_allele_ci_high,carrier_births_ci_high,affected_births_ci_high,normal_births_ci_high
20,1970,66272.64,53205.32,251.24,29.96,156.0,59.12,4740.76,250.28,22607.12,66130.08259720136,53050.879515174376,245.65683182891053,28.21615064870844,151.946699780837,55.78354493911077,4702.949728783129,243.92129760826418,22502.195460758503,66415.19740279864,53359.76048482562,256.8231681710895,31.703849351291563,160.053300219163,62.456455060889226,4778.570271216871,256.6387023917358,22712.044539241495
21,1971,66993.0,53569.16,253.8,30.28,157.88,59.52,4951.8,261.8,23640.4,66852.0468347287,53418.318561296,247.73560247565075,28.3612010423184,153.3080855534397,56.11930115417434,4914.285238176597,255.2905570130771,23537.3154277563,67133.9531652713,53720.00143870401,259.8643975243493,32.1987989576816,162.4519144465603,62.92069884582567,4989.314761823403,268.30944298692293,23743.484572243702
22,1972,67717.28,53936.68,258.2,30.28,160.6,60.96,5168.76,273.64,24668.92,67570.31238625203,53783.13505778924,252.11662812797596,28.30853486631558,155.71963935758842,57.361064246197216,5128.375076325936,266.819425291077,24563.398075379693,67864.24761374797,54090.22494221076,264.283371872024,32.25146513368442,165.48036064241157,64.55893575380279,5209.144923674065,280.460574708923,24774.441924620303
23,1973,68412.84,54291.84,260.56,30.68,161.44,62.04,5383.08,284.88,25684.68,68265.58899978282,54141.781691711876,254.77320718417073,28.650287744531262,156.87823596693852,58.21175655249913,5343.573815510648,277.7929262004689,25574.829870005356,68560.09100021717,54441.89830828812,266.3467928158293,32.70971225546874,166.00176403306148,65.86824344750087,5422.586184489352,291.9670737995311,25794.530129994644
24,1974,69119.64,54667.92,262.72,31.12,162.56,62.72,5599.04,295.44,26710.92,68962.54265267031,54514.49978003892,257.20695050146173,29.091549925024857,157.61308010711042,58.991669885860425,5559.54944838876,288.297348361661,26594.8387941271,69276.73734732969,54821.34021996108,268.2330494985383,33.148450074975145,167.50691989288958,66.44833011413957,5638.53055161124,302.582651638339,26827.001205872897
25,1975,69830.08,55040.36,265.08,31.08,164.56,63.08,5810.32,307.2,27749.36,69668.46777163561,54882.59108351973,259.5699708796898,28.972293606784852,159.60532055258196,59.715644156751544,5768.937113700145,300.16126185551224,27628.28085762048,69991.6922283644,55198.12891648027,270.5900291203102,33.187706393215144,169.51467944741805,66.44435584324845,5851.702886299854,314.23873814448774,27870.43914237952
26,1976,70476.12,55412.16,267.68,31.64,165.4,64.04,6021.88,317.56,28780.92,70314.1125793581,55253.70854895071,262.7582010226612,29.600343976712413,160.7315230177998,60.45711142232975,5980.040798585059,310.47585391454976,28659.263986784157,70638.12742064189,55570.6114510493,272.60179897733883,33.679656023287585,170.06847698220022,67.62288857767027,6063.719201414941,324.64414608545025,28902.57601321584
27,1977,71103.68,55773.48,272.32,32.28,167.24,66.12,6230.4,329.28,29800.52,70936.98157865622,55613.87998208655,267.18679529858133,30.179596838699773,162.0305771119378,62.43172645989121,6186.729516848714,322.0461040390856,29676.396220143062,71270.37842134376,55933.08001791345,277.45320470141866,34.38040316130023,172.44942288806223,69.8082735401088,6274.070483151285,336.51389596091434,29924.64377985694
28,1978,71714.84,56133.96,275.32,32.72,169.24,66.88,6437.52,340.84,30809.52,71544.56590273045,55968.981994961265,269.67361226033256,30.577345546601908,163.91629939233997,63.17440759931694,6392.044463126058,333.33745725592536,30681.68175797788,71885.11409726954,56298.93800503873,280.9663877396674,34.862654453398086,174.56370060766005,70.58559240068305,6482.995536873943,348.3425427440746,30937.35824202212
29,1979,72312.0,56478.96,278.52,33.04,170.04,68.76,6642.72,351.4,31809.76,72135.12385446684,56304.48775914425,272.2407358732624,31.0142030638125,164.55494078792213,65.15253493987815,6593.84893903232,343.7325828773091,31675.45683543505,72488.87614553316,56653.43224085575,284.79926412673757,35.065796936187496,175.52505921207785,72.36746506012186,6691.59106096768,359.06741712269087,31944.06316456495
