Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2061;5363.3 ± 26.9;3131.3 ± 15.2;12.0 ± 1.8;1.0 ± 0.4;8.3 ± 1.4;2.7 ± 0.4;0.0 ± 0.0;4681 ± 3;240 ± 0;26893 ± 28
2062;5298.7 ± 24.8;3078.7 ± 13.8;12.0 ± 1.4;0.7 ± 0.2;8.7 ± 1.2;2.7 ± 0.4;0.0 ± 0.0;4697 ± 6;241 ± 1;26996 ± 31
2063;5235.3 ± 28.5;3037.0 ± 16.7;12.7 ± 1.4;0.7 ± 0.2;8.7 ± 1.2;3.3 ± 0.5;0.0 ± 0.0;4714 ± 5;243 ± 1;27101 ± 31
2064;5172.7 ± 29.6;2985.7 ± 17.1;12.0 ± 1.6;0.7 ± 0.2;8.3 ± 1.1;3.0 ± 0.7;0.0 ± 0.0;4736 ± 3;245 ± 0;27243 ± 28
2065;5109.7 ± 31.7;2943.7 ± 16.2;11.7 ± 1.7;0.7 ± 0.2;7.7 ± 1.1;3.3 ± 0.5;0.0 ± 0.0;4750 ± 8;246 ± 0;27342 ± 55
2066;5052.0 ± 32.0;2915.0 ± 20.9;11.3 ± 1.8;0.7 ± 0.2;7.3 ± 1.2;3.3 ± 0.5;0.0 ± 0.0;4771 ± 5;246 ± 0;27484 ± 27
2067;4988.7 ± 33.9;2876.0 ± 22.5;10.3 ± 1.8;0.3 ± 0.2;6.7 ± 1.1;3.3 ± 0.5;0.0 ± 0.0;4793 ± 8;246 ± 0;27581 ± 38
2068;4916.3 ± 38.0;2824.7 ± 24.3;10.3 ± 1.4;0.3 ± 0.2;6.7 ± 0.7;3.3 ± 0.5;0.0 ± 0.0;4812 ± 8;246 ± 0;27680 ± 40
2069;4864.0 ± 38.1;2785.0 ± 24.1;10.0 ± 1.2;0.3 ± 0.2;6.7 ± 0.7;3.0 ± 0.4;0.0 ± 0.0;4835 ± 6;247 ± 0;27800 ± 37
2070;4804.0 ± 35.7;2741.3 ± 18.4;9.7 ± 1.4;0.3 ± 0.2;6.7 ± 0.7;2.7 ± 0.5;0.0 ± 0.0;4856 ± 8;249 ± 1;27918 ± 40
2071;4744.3 ± 33.8;2704.7 ± 19.2;8.7 ± 1.7;0.3 ± 0.2;5.7 ± 1.0;2.7 ± 0.5;0.0 ± 0.0;4878 ± 6;250 ± 0;28041 ± 36
